name,Condition,Mito,Animal,b_vol,b_sa,nr_ves_b,nr_ves_in,msb,mito_vol,tpsd,mean_ves_vol,final_med_mean_dis,final_dis_AZ,disp_cm,dis_ves_cm_f,dis_cm_az,final_chull_ax,final_chull_mvv_ax,med_ass_ves_vol_final_im,med_ass_ves_vol_im,ra_ass_ves_vol_final_ax,,,,,,,,,,,,,,ske_ass_im,ra_ass_ves_vol,ra_ass_ves_vol_final,ra_ske_ass_im,pval_ra_vav,med_ass_ves_vol_final_ax,ske_ass_ax,ra_ass_ves_vol_ax,ra_ass_ves_vol_final_ax,ra_ske_ass_ax,pval_ra_vav_ax,dis_ves_ol_ra_f,p_val_dis_ol,med_ass_vol_del_ev_f,,,dis_chull_az,dis_chull_az_f,,dis_ves_cm,dis_ves_cm_f,dis_ves_ol,dis_ves_ol_f,final_med_mean_dis_ra,rat,pval_mdnv_ra,dol_dcm,dis_m_cm,med_dis_m,med_dis_m_f,den,chull_del_ves_f
d03c04ax24,Control,Yes,JB023,0.089035,1.32475,138,110,n,0.0139451604,0.095778,0.00786991550561884,0.0477,0.11958314637818,0.205976492070082,0.158924908136155,0.165256655181019,0.0549031148545,0.0470347847968245,0.000119880721532333,0.000174214758199,0.000227721814267333,,,,,,,,,,,,,,-0.0747910219882198,0.000447096563986,0.000392762527319333,1.83945348283099,0.000740393553123505,0.000118525572128833,-0.0253358175983714,0.000282055850934,0.000227721814267333,0.603645116005828,0.0555555555555556,0.049,0.156898942724311,0.000119880721532333,,,0.155232312190609,0.131732312190609,,0.182424908136155,0.158924908136155,0.0944964323358217,0.047,0.06640779246506,0.717767762191266,8.67490353308306E-05,0.489626395368392,0.0314852855933391,0.0764977089444831,0.0529977089444831,#REF!,0.0546514465785
d03c05ax25,Control,Yes,JB023,0.210175,2.18425,333,284,y,0.0245525446,0.1123798,0.0189993839282243,0.0249,0.176013855282865,0.235833120617305,0.176023961972919,0.259293774638682,0.10782033622,0.0888204014898039,9.71436479853333E-05,0.000151477684652,0.000161678627675833,,,,,,,,,,,,,,1.33507081850899,0.0002500038298655,0.000195669793198833,1.34134085915826,2.86116207E-12,9.71436479853333E-05,1.33507081850899,0.0002160126643425,0.000161678627675833,0.68633378311489,9.7514395802739E-07,0.045,0.309133430969479,0.000138175760446333,,,0.202426534367666,0.178926534367666,,0.199523961972919,0.176023961972919,0.0998965061112645,0.053,0.0446190360499885,0.557188414400046,2.03339E-14,0.497639423409213,0.115324782278029,0.176843854933477,0.153343854933477,#REF!,0.09891804063
d03c06ax26,Control,No,JB023,0.069248,1.173,112,80,n,0,0.02219,0.00556050077460265,0.0242,0.177345242581095,0.137754550902892,0.105626753711512,0.181846611588788,0.0228298257544,0.0172699413317218,6.59135827861667E-05,0.0001129693045995,0.000110215677151667,,,,,,,,,,,,,,1.37707635472306,0.000157271398965,0.000110215677151667,0.171210288923305,0.00166411518097582,6.59135827861667E-05,1.37707635472306,0.000157271398965,0.000110215677151667,0.171210288923305,0.00332823036195164,0.020,0.181552958376877,0.000134948953474167,,,0.217166968182495,0.194766968182495,,0.128026753711512,0.105626753711512,0.0655538169062033,0.021,0.0345002230879453,0.700403857877112,0.00785482045211074,0.625800140596889,0,0,0,#REF!,0.0188962287816
d03c07ax27,Control,No,JB023,0.190850,1.997,310,271,y,0,0.1278886,0.0153953769621556,0.0351,0.192652148954902,0.228927090478681,0.189306760553074,0.293053123643548,0.0955178256816,0.0801272822228478,0.000158683324077667,0.000205739045891,0.000188238453345667,,,,,,,,,,,,,,0.755201479991726,0.0002356888942895,0.000188633172476167,0.868050873223802,0.0180719915734057,0.000158053769041667,0.779452460274168,0.000235294175159,0.000188238453345667,0.861344553385727,0.0297235241521836,0.069,0.108044459199692,0.000196508766458667,,,0.160041108996764,0.137641108996764,,0.211706760553074,0.189306760553074,0.11747654334159,0.073,0.041914242902811,0.83759703814454,0.00755454852554537,0.576454038902351,0,0,0,#REF!,0.0921008483192
d03c08ax28,Control,Yes,JB023,0.709425,4.69975,1984,1905,y,0.0464447699,0.363502,0.113208141290543,0.0184,0.316731149820653,0.342391907764181,0.305418214507651,0.459983390835221,0.491120106055,0.377925415457096,8.63328085778333E-05,0.0001406668452445,0.000137128915457333,,,,,,,,,,,,,,9.39046755151842,0.000201819345185,0.000147485308518333,2.44815454537065,7.05896429905323E-104,8.62890562343333E-05,9.4908781657942,0.000191462952124,0.000137128915457333,0.720941387805128,5.35438501985894E-79,0.112,0.486171480053532,0.000188152537108333,,,0.277338360474485,0.253838360474485,,0.328918214507651,0.305418214507651,0.158350281820499,0.111,0.0311938877452997,0.589815921783062,2.25863287519432E-120,0.482902024504435,0.258961440472438,0.273816964944222,0.250316964944222,#REF!,0.464014776745
d03c09ax29,Control,Yes,JB023,0.240400,2.6125,429,394,y,0.0168299992,0.1343226,0.0244764128309164,0.0249,0.172771777266746,0.249452518705074,0.190406203886211,0.276063416818897,0.13287043034,0.108391460130484,0.000102403996889333,0.000156738033556,0.000165393059720333,,,,,,,,,,,,,,1.45735290185081,0.000250218932908,0.000195884896241333,2.81720084225148,7.8571101040388E-20,0.000102424066397833,1.43216444925467,0.000219727096387,0.000165393059720333,0.731988770436228,1.9197798085E-10,0.083,0.183047665075974,0.000166529918605833,,,0.128612117732079,0.105112117732079,,0.213906203886211,0.190406203886211,0.137020118407959,0.090,0.0414455238539506,0.601606951840216,1.08587811079917E-20,0.682653197180022,0.270912635986774,0.308827069877747,0.285327069877747,#REF!,0.12765051442
d03c10ax30,Control,Yes,JB023,0.411350,3.1725,760,707,n,0.0764219686,0.336073,0.0433547132282564,0.0232,0.188887044450855,0.287870018756433,0.236329929279648,0.2521365457038,0.199783512945,0.156416364719172,0.000106300299460333,0.000160634336127,0.000156996089930333,,,,,,,,,,,,,,2.3658154565796,0.0002158135712745,0.000161479534607833,0.556592631772378,1.10081042930935E-22,0.000106878761429333,2.95361025947345,0.000211330126597,0.000156996089930333,0.538610596139089,1.04964092189877E-19,0.078,0.000673987707783428,0.000216994011047333,,,0.0976357031479861,0.0741357031479861,,0.259829929279648,0.236329929279648,0.136436913687093,0.089,0.0343437008533873,0.674356332585396,1.6747094863393E-23,0.523536758426377,0.218418489204399,0.156458215113214,0.132958215113214,#REF!,0.190479492875
d03c11ax31,Control,No,JB023,0.161850,1.79375,521,475,y,0,0.0896485,0.0258703216521007,0.0200,0.170699316311198,0.224552104730623,0.176730035675072,0.217688552825365,0.103659890404,0.0777949405910066,7.33631569431667E-05,0.0001204188787565,0.000106842345235667,,,,,,,,,,,,,,1.93795693504102,0.000153898067049,0.000106842345235667,0.70693300532738,6.132746643543E-08,7.33631569431667E-05,1.93795693504102,0.000153898067049,0.000106842345235667,0.70693300532738,1.2265493287085E-07,0.056,0.00577376082679451,0.000151989994265667,,,0.170987818391983,0.148587818391983,,0.199130035675072,0.176730035675072,0.106198884693473,0.061,0.0286071265189642,0.697569386630085,7.57736111472E-09,0.557272288678514,0,0,0,#REF!,0.0906156974872
d03c13Aax33,Control,No,JB023,0.040765,0.793325,45,28,n,0,0.024436,0.00223458564257528,0.0302,0.084638576899035,0.1097420097258,0.0671737819190393,0.118215597516241,0.008013400874,0.00577774163125953,6.84732186531667E-05,0.0001155289404665,0,,,,,,,,,,,,,,100,0,-4.70557218133333E-05,100,0,6.84732186531667E-05,0,0,0,100,,0.008,0.243076465816589,0,,,0.11059588709358,0.08819588709358,,0.0895737819190393,0.0671737819190393,0.063713595176235,0.019,0.0389163823916695,0.77630281714482,0.0838058276447464,0.751795187216804,0,0,0,#REF!,0.0052525658596
d03c14ax35,Control,No,JB023,0.124000,1.71925,250,212,n,0,0.059292,0.015794026578756,0.0388,0.471015692072429,0.287977794386421,0.193854235377242,0.412026636838681,0.089510267584,0.0737233370327412,0.000145054086243667,0.000192109808057,0.000217286246679667,,,,,,,,,,,,,,1.53033824768118,0.000308357369808,0.000261301647994667,0.911597877565218,1.349002130256E-08,0.000140189434965667,1.43061843371082,0.000264341968493,0.000217286246679667,1.00941366572564,5.90006179235503E-05,0.061,0.137281487234647,0.000138999666832667,,,0.550907625652348,0.528507625652348,,0.216254235377242,0.193854235377242,0.10101137993554,0.056,0.0519122062601885,0.746644111498469,6.7551534938774E-06,0.502030208780627,0,0,0,#REF!,0.089510267584
d03c15Bax37,Control,No,JB023,0.704525,5.11925,1752,1671,y,0,0.421733,0.086964126156707,0.0259,0.463964120458996,0.532040936560486,0.447838299715582,0.384862798379268,0.641360049088,0.55439279929891,0.000100069044533667,0.000147124766347,0.000250501206168667,,,,,,,,,,,,,,5.84313345907184,0.000313356783195,0.000266301061381667,0.758163747630209,6.00353918012364E-124,9.63030305326667E-05,6.00840319771709,0.000297556927982,0.000250501206168667,0.733895879408213,1.6656054258124E-119,0.130,1.788229962E-11,9.76949216546667E-05,,,0.404432710064769,0.382032710064769,,0.470238299715582,0.447838299715582,0.157779292435688,0.113,0.0470403644025691,0.550421255041613,4.53487153083404E-110,0.325394243359239,0,0,0,#REF!,0.641360049088
d03c15Cax38,Control,No,JB023,0.069853,0.924625,250,201,n,0,0.043253,0.0121614372316078,0.0233,0.199601918919668,0.169591284647614,0.137300218744723,0.197473589249007,0.0477505360928,0.0355877839138422,8.89793357901667E-05,0.0001360350576035,9.77275907716667E-05,,,,,,,,,,,,,,0.986117573927898,0.000145527744253,9.84720224396667E-05,0.441926505364937,0.210785533207298,8.89793357901667E-05,0.986117573927898,0.000144783312585,9.77275907716667E-05,0.467225958216128,0.482009002431744,0.035,0.44673033270991,0.000172053104557667,,,0.224649990865788,0.202249990865788,,0.159700218744723,0.137300218744723,0.0766392773915598,0.032,0.0275396546370363,0.847546121893774,0.00465636027959064,0.558807917561083,0,0,0,#REF!,0.0380041653816
d03c16ax39,Control,No,JB023,0.06178,0.916025,280,240,y,0,0.1736116,0.0143969473927557,0.0167,0.150002150437334,0.161447532895239,0.130568110693705,0.187876670342616,0.0419723840616,0.0275763115547951,5.89101085286667E-05,0.000105965830342,5.94754059936667E-05,,,,,,,,,,,,,,0.576411917328114,0.000106531127807,5.94754059936667E-05,0.855190932515119,0.1264601510511,5.89101085286667E-05,0.576411917328114,0.000106531127807,5.94754059936667E-05,0.855190932515119,0.252920302102201,0.033,0.244050543645525,0.000174332666698667,,,0.178674264517366,0.156274264517366,,0.152968110693705,0.130568110693705,0.0805407568159863,0.036,0.0216164790509201,0.772349406450259,0.0176561573038834,0.537532796271838,0,0,0,#REF!,0.0342222345848
